Actions,Level,Digital actions,Industry,Sources,Links,Additional Notes,Action detail,SDGs,Individual/Organization,id,related_industry_org,Related Industry (org only),Column11
Join policy groups to promote protection of life on land,"3,4",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Join policy groups to promote protection of life on land: Join an NGO or a policy group to advocate for the protection of life on land through petitions to companies and government, educational events in your local community, creating resolutions to support this cause etc. This can help to start a discussion on this topic on the governmental/corporate level.",15,0,3212,,,
Throw trash in the right place,"2,3,4,5",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Throw trash in the right place: By simply putting trash in a trash bin you support the cleanliness of the soil, forests, mountains which helps to avoid pollution of these ecosystems.",15,1,3213,"Electricity, gas, water and waste services",,
Organize or join projects to help maintain/build biking or hiking trails,"3,4,5",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Organize or join projects to help maintain/build biking or hiking trails: An important way to protect forests and mountains from human influence is to create means for both to co-exist. You can create or organize a project which builds or maintains biking or hiking trails in your local forest or mountains.,11,1,3214,Construction,,
Plant a tree,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Plant a tree: Make it a yearly resolution to plant a tree (or more) in your neighborhood, school garden or forest nearby. You can make it a social media challenge or just a thing amongst your friends for them to join this idea",15,0,3215,,,
Don’t buy Christmas trees,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Don’t buy Christmas trees: Convince your parents to substitute the tree with a plastic one and reuse it from year to year, It will bring an equal amount of holiday spirit and will keep more trees safe.",15,0,3216,,,
Clean your local parks and forests,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Clean your local parks and forests: Organise your own or join an existing clean-up event to sustain the ecosystem of your local green space. It is easier than it sounds: grab a trash bag and collect and sort trash you find. Even 1 bag will make a difference.,15,0,3217,,,
Recycle paper,"2,4",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Recycle paper: You can help to avoid cutting more trees by using less and recycling paper. Store all the paper you don’t need in a separate bin and take it to a special recycling institutions.,15,0,3218,,,
Don’t use pesticides,"2, 3",0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Don’t use pesticides: To protect and sustain quality of soil, don’t use chemicals while growing plants. It will help to reduce soil pollution. You can always choose natural fertilizers.",15,0,3219,,,
Don’t buy illegal plants or wildlife,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,Don’t buy illegal plants or wildlife: You can help to prevent extinction of the threatened species if you are checking the source and not buying illegal plants and animals. You can check the list of endangered species in your country and globally online or in a local library.,15,0,3220,,,
Don’t buy products tested on animals,3,0,,Global Goals Impact Games,https://ggimpactgames.com/actions/,Add by Ryan Su,"Don’t buy products tested on animals: Check the labels on the products you buy. Check if they are tested on animals (mostly applicable to cosmetics, food, medicine products etc.) Additionally, you can search for a list online. Preventing buying from companies that test their products on animals helps to sustain the diversity of wildlife and eliminate cruel practices against animals.",15,0,3221,,,
