Title,Description,Aims,Learning outcome( Expecting outcome),Type label,Location,Organization,Year,SDGs related,Related to which discipline,Useful for which industries,Source,id
Sir Rupert Myers Sustainability Award,"The award has been established through the generosity of former UNSW Vice Chancellor and Emeritus Professor Sir Rupert Myers, through the James N Kirby Foundation, and aims to support founders who are actively contributing to a more sustainable world.",,,Event,Australia,UNSW,2022,"4, 12, 17",Business and Management,Apply to all organizations,https://alumni.unsw.edu.au/donate-10x,1
World’s top universities unite to tackle climate change,"UNSW Sydney is facilitating the establishment of the International Universities Climate Alliance (Climate Alliance) to help communicate research insights on the most effective means to meet the unprecedented global challenge of climate change. Comprised of a global network of 40 of the world’s top universities, the Climate Alliance is a communication platform for leading experts to exchange ideas with peers, industry and policymakers. ","The network is united by their dedication to producing critical climate research and will engage in work across climate change science, impact, mitigation strategies and adaptation. 
","The Climate Alliance will make university-led, high quality climate research accessible to a global audience, while amplifying the voices of individual members.
Session 1: Climate Communications in the Media
Session 2: Countering Misinformation
Session 3: Climate Messaging ",Initiative,Australia,UNSW,2020,"9, 10, 11, 12, 13, 14, 15","Education;
Information technology;
Environmental and Related Studies;",Education and training,Enterprise.unsw.edu.au. 2021. World’s top universities unite to tackle climate change | Division of Enterprise. [online] Available at: https://www.enterprise.unsw.edu.au/index.php/news/worlds-top-universities-unite-tackle-climate-change ,2
"Developing Coursework and Supplementary Activities
update","This case describes a graduate level course in City and Regional planning,“Issues in Global Sustainable Development: Adapting Formality and Informality in Rapidly Urbanizing Places,” and an associated day-long conference entitled “Why Cities? Informality as a Way of Life: Challenges to Sustainable Urban Development,” and photo contest, undertaken by the Weitzman School of Design, the Penn Institute for Urban Research, and Perry World House, University of Pennsylvania in 2019.","The course aims to familiarize students with the contents and implementation of five global agreements (Sendai, Addis Ababa, Agenda 2030, Paris, New Urban Agenda) approved by the United Nations between 2015 and 2016 and others on biodiversity, humanitarian, and international migration/refugees. The conference aims to engage students with researchers and practitioners who are actively implementing the agreements.","The students will have an understanding of the importance of the SDGs, their relationship with other global agreements and the opportunities and challenges of implementing them in low and moderate income countries. ",Undergraduate course,United States,"University of Pennsylvania
",2019," 2, 8, 10, 11, 12, 13, 14, 15","Architecture and Building;
Humanities and Law;
Environmental and Related Studies",Professional services,"SDSN Australia, New Zealand and Pacific. 2020. Accelerating Education for the SDGs in Universities | SDSN Australia, New Zealand and Pacific. 
https://ap-unsdsn.org/regional-initiatives/universities-sdgs/education-for-sdgs-guide/",3
Honey Bee Initiative,"Bees in the School of Business? Why Bees? What IS the Buzz About? The answer comes out of a growing commitment to creating shared value, of recognizing that business has a critical role to play in addressing the world’s most pressing challenges, often called sustainable development goals (SDGs).","The Honey Bee Initiative (HBI) exemplifies how we use sustainable beekeeping to empower communities locally and globally in an effort to address global goals focused on gender equality, food security, and economic empowerment.  Moreover, honey bees are threatened and bee health is critical to human survival. Bees pollinate one-third of the food we eat and are the “most important pollinator worldwide","Our Colombia project has experienced significant growth, including an increase from 20 families to 160 families participating and from 3 municipalities to 9 participating municipalities, an increase in honey production and sales, a doubling of funds raised, and extensive coverage in more than 120 news stories.",Initiative,United States,George Mason University,2013,"2, 3, 5, 10
",Natural and Physical Sciences,Professional services,"SDSN Australia, New Zealand and Pacific. 2021. Accelerating Education for the SDGs in Universities | SDSN Australia, New Zealand and Pacific. 
https://ap-unsdsn.org/regional-initiatives/universities-sdgs/education-for-sdgs-guide/",4
Introducing the Sustainability Bootcamp and the SDGs,In 2017 Western Sydney University embarked on an institutional 21st Century curriculum renewal and transformation program. A flagship initiative of this work was to develop and deliver a cross-disciplinary signature sustainability learning experience accessible for undergraduate students and at scale. The result was a new Global Sustainability sub-major approved late in 2018 and an interactive online ‘curiosity pod ’called ‘Sustainability Bootcamp’ SB developed as a ‘taster’ for students.,"The aim of this pod is to introduce the core concepts of sustainable development and the SDGs through worldviews, systems awareness and future thinking. The pod was also designed to be accessed as a resource for academics to incorporate into their current programs as well as a standalone extra curricula activity.","Throughout 2019 over 900 students from business, health, industrial design, architecture, nursing and education interacted with the SB. An extra curricula version with a campus activation event on urban heat was introduced in Spring 2019 with over 40 students graduating. In May 2020 the first cohort of 100 staff are engaged with the pod to pilot it’s value as a PD opportunity.",Edu tool,Australia,Western Sydney University,2017,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Education,Education and training,"SDSN Australia, New Zealand and Pacific. 2022. Accelerating Education for the SDGs in Universities | SDSN Australia, New Zealand and Pacific. 
https://ap-unsdsn.org/regional-initiatives/universities-sdgs/education-for-sdgs-guide/",5
Leveraging Local Knowledge through Global Practice at Harvard University,"To establish a Master’s in Global Development Practice (MGDP) degree program at Harvard University’s, Faculty of Arts and Sciences, Division of Continuing Education (DCE) to prepare development practitioners with the knowledge and practical skills required to critically evaluate and address the multi-dimensional challenges of sustainable development.
The Harvard DCE MGDP degree program offers curriculum that covers the full breadth of the four core competencies of the MGDP: health sciences, natural sciences, social sciences and management sciences. ","To establish a Master’s in Global Development Practice (MGDP) degree program at Harvard University’s, Faculty of Arts and Sciences, Division of Continuing Education (DCE) to prepare development practitioners with the knowledge and practical skills required to critically evaluate and address the multi-dimensional challenges of sustainable development. These challenges include, but are not limited to climate change, extreme poverty, gender inequality, and access to clean water and sanitation.","Admitted students has now reached 35, with more than 50 students indicating admissions into the program in the coming academic year. The Harvard DCE program is open enrollment and can scale to more than 500 students. With more than 160 courses established, the program meets and exceeds the Global Association (http://mdpglobal.org/) curriculum requirements.",Program,United States,Harvard University; Faculty of Arts and Sciences; Division of Continuing Education,2018,"1, 5, 6, 13",Education,Education and training,"SDSN Australia, New Zealand and Pacific. 2023. Accelerating Education for the SDGs in Universities | SDSN Australia, New Zealand and Pacific. 
https://ap-unsdsn.org/regional-initiatives/universities-sdgs/education-for-sdgs-guide/",6
Making the makers and innovators for the SDGs,"The Geneva Tsinghua Initiative (GTI) was established in 2016 in response to the call to action of the 2030 Agenda, making it the first in the world to provide comprehensive education programmes for the SDGs. The initiative is a partnership between the University of Geneva, with its strong ties to international organizations, and Tsinghua University, China’s top university. All programs adopt a modern approach to open innovation characterized by a focus on challenge-based learning inspired by real-world problems, as well as collaboration through multidisciplinary and multicultural teams.",The initiative aims to cultivate the next generation of leaders who are equipped with the theoretical knowledge and skill sets required to tackle the complicated social and environmental challenges facing the world today. ,"So far, GTI has successfully run four years of summer schools that enabled more than a hundred students from across the world to develop and test their solutions to SDGs challenges. The master programme will see its first batch of graduates this summer. All programmes allow students to work directly with UN organizations like WHO, ITU, UNDP, UNICEF, UNEP and etc, as well as grassroots NGOs and companies in countries like Switzerland, China, Senegal, Uganda and many more.",Initiative,China;Switzerland,Geneva Tsinghua Initiative,2016,"7, 9, 12",Education,Education and training,"SDSN Australia, New Zealand and Pacific. 2024. Accelerating Education for the SDGs in Universities | SDSN Australia, New Zealand and Pacific. 
https://ap-unsdsn.org/regional-initiatives/universities-sdgs/education-for-sdgs-guide/",7
Positive Energy Fund,"Millersville University leveraged the success of a newly constructed zero energy building to establish a program that funds local, student-led community projects centered on advancing the Global Goals for Sustainable Development. The program, entitled the Positive Energy Fund, provides micro-grants to students to complete projects on campus or in the local community (City of Lancaster) to advance the Global Goals. The zero energy building produced nearly twice as much energy as it used during its first year, making it a positive energy building. ","The program concept came from an interest in raising awareness of the Global Goals among faculty, staff and students by implementing projects that beneficially impact the local community.","Millersville University awarded $10,000 to an initial set of projects in the spring of 2019 for work to 1) conduct an Education and Poverty conference, 2) install native gardens with supporting STEM education plan at urban elementary schools, 3) prepare micro-media content on local sustainability projects and 4) integrate art into local green infrastructure. Each project featured collaborations with various local, regional and national partners. Over 1,000 individuals were reached with information on the Global Goals through the initial projects. An additional $10,000 was awarded in the spring of 2020 for projects focused on accessibility through assistive technology, inclusion in local schools and species resiliency.",Postgraduate program,United States,Millersville University,2019,"9, 11",Architecture and Building,Professional services,https://blogs.upm.es/education4sdg/2020/05/09/millersville-universitys-positive-energy-award-program/,8
"SDG Impact Assessment Tool
","The SDG Impact Assessment Tool is a free online learning tool that visualizes the results from a self-assessment of how an activity, organization or innovation affects the SDGs. ","It aims to stimulate users, e.g. teachers and students, to get a better understanding of the SDGs, the complexity of sustainable development and how different activities in society impacts the SDGs.When students use the tool, they learn more about Agenda 2030 and the opportunities and difficulties of implementing the SDGs. The tool will help teachers and students to take on the SDGs in a simple and structured approach, and outputs a graphical visualization of the result. Furthermore, it can guide teachers, students and organizations to formulate a strategy of how to take action on the results of the SDG impact assessment.",The SDG Impact Assessment Tool has successfully been used in teaching at courses at Gothenburg University and Chalmers University of Technology in Sweden.,Edu tool,Sweden,Chalmers University of Technology,2020,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17 ",Education,Education and training,https://sdgimpactassessmenttool.org/en-gb,9
SDGs in practice: Innovation and social impact,"With an aim to mobilize students on Sustainable Development Goals, a separate forum is created for technical innovation to find solutions for day-to-day problems of the society and organization development whilst developing the skill of students. This forum is referred to as the “Innovation and Social Development Forum.”The project is implemented in collaboration with Uniglow (A social enterprise partnered with UN for post-2015 development ). UNiGloW – Uniting Initiators for the Glorious World, is an initiative put together to bring a positive impact in the world through collective efforts.","This forum aims to produce innovations aligned with the United Nations Sustainable Development Goals.
The project seeks to involve young minds in collaborative endeavours to develop real-time employability skills while encouraging sustainable development.","Each participant on an average spent 30 hours in the program. In the first phase, 50 students were involved leading to total 1500 volunteer hours.
Three Apps development in progress for eradicating food waste, Effective information transfer, Improving mental health
Three strategic partnerships made over 85% of the student involved was shortlisted for job offers or started their entrepreneurial ventures",Initiative,India,Thiagarajar College of Engineering,NOT GIVEN,"4, 8, 9, 17",Education,Education and training,https://blogs.upm.es/education4sdg/2020/05/16/sdgs-in-practice-innovation-and-social-impact/,10
