id,keyword,sdggoal,target,reference1,reference2,note
1,Conserve ocean,14,14.1,0,-,
2,Ocean conservation,14,14.1,0,-,
3,Eutrophication ,14,14.1,7,-,
4,Marine conservation ,14,14.1,7,-,
5,Marine debris ,14,14.1,7,-,
6,Marine pollution,14,14.1,0,-,
7,Nutrient pollution ,14,14.1,7,19,
8,Plastic pollution ,14,14.1,7,-,
9,Plastic waste ,14,14.1,7,-,
10,Ecotourism ,14,14.1,7,-,
11,Earth system ,14,14.1,7,-,
12,Ecological resilience ,14,14.1,7,-,
13,Biodiversity loss,14,14.1,0,-,
14,Nutrient pollution ,14,14.1,7,19,
15,Nutrition,14,14.1,0,-,
16,Nutritious,14,14.1,0,-,
17,Reduce pollution ,14,14.1,3,-,
18,"WASH water, sanitation and hygiene",14,14.1,,-,
19,"Water, Sanitation and Hygiene for All ",14,14.1,0,-,
20,Recycle ,14,14.1,0,-,
21,Recycling ,14,14.1,7,-,
22,Reuse ,14,14.1,7,-,
23,Waste Dumping,14,14.1,0,-,
24,Trash Dumping,14,14.1,0,-,
25,Caring for the commons  ,14,14.1,31,-,
26,Caring for the public goods  ,14,14.1,31,-,
27,Common good ,14,14.1,26,-,
28,Contaminated ,14,14.1,0,-,
29,Contamination ,14,14.1,7,-,
30,Hazardous chemical ,14,14.1,7,-,
31,Hazardous waste ,14,14.1,7,-,
32,Life cycle,14,14.1,0,-,
33,Life cycle analysis ,14,14.1,7,-,
34,Solid waste ,14,14.1,7,-,
35,Waste composting ,14,14.1,7,-,
36,Waste sorting ,14,14.1,7,-,
37,Water pollution,14,14.1,0,-,
38,Millennium Development Goals ,14,14.1,19,-,
39,Solid waste segregation ,14,14.1,16,-,
40,conservation,14,14.1,0,-,
41,Conserve,14,14.1,0,-,
42,Ecological,14,14.1,0,-,
43,Ecology,14,14.1,0,-,
44,Ecosystem,14,14.1,0,-,
45,Coral Bleaching,14,14.1,0,-,
46,Ecological balance,14,14.1,0,-,
47,Ecological equilibium,14,14.1,0,-,
48,Ecological footprint ,14,14.1,7,16,
49,Flood ,14,14.1,19,-,
50,Green product ,14,14.1,7,-,
51,Industrial pollution ,14,14.1,7,-,
52,Industrial waste management ,14,14.1,7,-,
53,Industrial waste treatment ,14,14.1,7,-,
54,Microplastic ,14,14.1,7,-,
55,Pollution ,14,14.1,7,-,
56,Sustainable economic growth,14,14.1,0,-,
57,Sustainable manufacturing ,14,14.1,7,-,
58,Sustainable production,14,14.1,0,-,
59,Sustainable societies,14,14.1,0,-,
60,Sustainable society,14,14.1,0,-,
61,Sustainable tourism ,14,14.1,19,-,
62,Water infrastructure ,14,14.1,16,-,
63,Biodiversity recovery ,14,14.2,14,-,
64,Coastal biodiversity,14,14.2,0,-,
65,Coastal ecosystem,14,14.2,0,-,
66,Coastal habitat,14,14.2,0,-,
67,Coastal management ,14,14.2,7,-,
68,conservation,14,14.2,0,-,
69,Conserve,14,14.2,0,-,
70,Conserve ocean,14,14.2,0,-,
71,Coral bleaching ,14,14.2,7,-,
72,Coral cover ,14,14.2,20,-,
73,Eco restoration ,14,14.2,14,-,
74,Ecosystem management,14,14.2,0,-,
75,Fish species,14,14.2,0,-,
76,Fish stock,14,14.2,0,-,
77,Glacier dynamics ,14,14.2,7,-,
78,Glacier mass ,14,14.2,7,-,
79,Glacier retreat ,14,14.2,7,-,
80,Marine biodiversity,14,14.2,0,-,
81,Marine conservation ,14,14.2,7,-,
82,Marine ecosystem,14,14.2,0,-,
83,Ocean conservation ,14,14.2,0,-,
84,Ocean system ,14,14.2,17,-,
85,Ocean temperature,14,14.2,0,-,
86,Ocean warming,14,14.2,0,-,
87,Plastic pollution ,14,14.2,7,-,
88,Plastic waste ,14,14.2,7,-,
89,Productive ocean,14,14.2,0,-,
90,Protected area,14,14.2,0,-,
91,Sea surface temperature,14,14.2,0,-,
92,Biodiversity,14,14.2,0,-,
93,Eco-restoration ,14,14.2,14,-,
94,Global warming,14,14.2,0,-,
95,Sustainable ecosystem,14,14.2,0,-,
96,Earth system ,14,14.2,7,-,
97,Ecological resilience ,14,14.2,7,-,
98,Ecosystem restoration,14,14.2,0,-,
99,Biodiversity loss,14,14.2,0,-,
100,Natural resource depletion ,14,14.2,19,-,
101,Restoration ,14,14.2,7,-,
102,Environmental disaster ,14,14.2,7,-,
103,Crops,14,14.2,0,-,
104,carbon abatement ,14,14.2,40,-,
105,Reduce pollution ,14,14.2,3,-,
106,"WASH water, sanitation and hygiene",14,14.2,,-,
107,"Water, Sanitation and Hygiene for All ",14,14.2,0,-,
108,Caring for the commons  ,14,14.2,31,-,
109,Caring for the public goods  ,14,14.2,31,-,
110,Common good ,14,14.2,26,-,
111,Contaminated ,14,14.2,0,-,
112,Contamination ,14,14.2,7,-,
113,Decarbonisation,14,14.2,0,-,
114,Deep decarbonisation,14,14.2,0,-,
115,Life cycle,14,14.2,0,-,
116,Life cycle analysis ,14,14.2,7,-,
117,Carbon negative ,14,14.2,0,-,
118,Carbon neutral ,14,14.2,25,-,
119,Carbon neutrality ,14,14.2,25,-,
120,Carbon emission ,14,14.2,3,-,
121,Solid waste ,14,14.2,7,-,
122,Waste composting ,14,14.2,7,-,
123,Waste sorting ,14,14.2,7,-,
124,Water pollution,14,14.2,0,-,
125,Water saving ,14,14.2,7,-,
126,Water supply,14,14.2,0,-,
127,Millennium Development Goals ,14,14.2,19,-,
128,Net zero carbon ,14,14.2,39,-,
129,Net zero emissions ,14,14.2,39,-,
130,Resilience,14,14.2,0,-,
131,Resilient,14,14.2,0,-,
132,Solid waste segregation ,14,14.2,16,-,
133,Extinct,14,14.2,0,-,
134,Extinct species,14,14.2,0,-,
135,Extinction,14,14.2,0,-,
136,Extinction risk ,14,14.2,7,-,
137,Extinction wave ,14,14.2,7,-,
138,Ecological,14,14.2,0,-,
139,Ecology,14,14.2,0,-,
140,Ecosystem,14,14.2,0,-,
141,Habitat fragmentation ,14,14.2,7,-,
142,Habitat loss ,14,14.2,7,-,
143,Climate change,14,14.2,0,-,
144,Climate emergency,14,14.2,0,-,
145,CO2 emission,14,14.2,0,-,
146,Methane emission,14,14.2,0,-,
147,Coral Bleaching,14,14.2,0,-,
148,Ecological balance,14,14.2,0,-,
149,Ecological equilibium,14,14.2,0,-,
150,Ecological footprint ,14,14.2,7,16,
151,Nitrogen oxides emission,14,14.2,0,-,
152,NOx emission,14,14.2,0,-,
153,Flood ,14,14.2,19,-,
154,Greenhouse emission,14,14.2,0,-,
155,Greenhouse gas,14,14.2,0,-,
156,Industrial pollution ,14,14.2,7,-,
157,Industrial waste management ,14,14.2,7,-,
158,Industrial waste treatment ,14,14.2,7,-,
159,Microplastic ,14,14.2,7,-,
160,Pollution ,14,14.2,7,-,
161,Sustainable economic growth,14,14.2,0,-,
162,Sustainable manufacturing ,14,14.2,7,-,
163,Sustainable production,14,14.2,0,-,
164,Sustainable societies,14,14.2,0,-,
165,Sustainable society,14,14.2,0,-,
166,Sustainable tourism ,14,14.2,19,-,
167,Water infrastructure ,14,14.2,16,-,
168,Water resources,14,14.2,0,-,
169,Acidification ,14,14.3,7,-,
170,Carbon dioxide,14,14.3,0,-,
171,CO2,14,14.3,0,-,
172,Conserve ocean,14,14.3,0,-,
173,Marine conservation ,14,14.3,7,-,
174,Ocean Acidification ,14,14.3,0,-,
175,Ocean conservation,14,14.3,0,-,
176,Earth system ,14,14.3,7,-,
177,Ecological resilience ,14,14.3,7,-,
178,Biodiversity loss,14,14.3,0,-,
179,Air Pollution,14,14.3,0,-,
180,Reduce pollution ,14,14.3,3,-,
181,"WASH water, sanitation and hygiene",14,14.3,,-,
182,"Water, Sanitation and Hygiene for All ",14,14.3,0,-,
183,Contaminated ,14,14.3,0,-,
184,Contamination ,14,14.3,7,-,
185,Hybrid car,14,14.3,0,-,
186,Hybrid vehicle,14,14.3,0,-,
187,Water pollution,14,14.3,0,-,
188,Millennium Development Goals ,14,14.3,19,-,
189,conservation,14,14.3,0,-,
190,Conserve,14,14.3,0,-,
191,Ecological,14,14.3,0,-,
192,Ecology,14,14.3,0,-,
193,Ecosystem,14,14.3,0,-,
194,Coral Bleaching,14,14.3,0,-,
195,Ecological balance,14,14.3,0,-,
196,Ecological equilibium,14,14.3,0,-,
197,Ecological footprint ,14,14.3,7,16,
198,Flood ,14,14.3,19,-,
199,Industrial pollution ,14,14.3,7,-,
200,Industrial waste management ,14,14.3,7,-,
201,Industrial waste treatment ,14,14.3,7,-,
202,Pollution ,14,14.3,7,-,
203,Sustainable economic growth,14,14.3,0,-,
204,Sustainable societies,14,14.3,0,-,
205,Sustainable society,14,14.3,0,-,
206,Water infrastructure ,14,14.3,16,-,
207,Coastal management ,14,14.4,7,-,
208,Destructive fish practice ,14,14.4,7,-,
209,Fish species,14,14.4,0,-,
210,Fish stock,14,14.4,0,-,
211,Fisher,14,14.4,0,-,
212,Fisheries,14,14.4,0,-,
213,Fisheries management,14,14.4,0,-,
214,Fishery,14,14.4,0,-,
215,Fishery management,14,14.4,0,-,
216,Fishing,14,14.4,0,-,
217,Fishing practice,14,14.4,0,-,
218,Illegal fishing,14,14.4,0,-,
219,Marine fisheries,14,14.4,0,-,
220,Marine fishery,14,14.4,0,-,
221,Ocean fisheries,14,14.4,0,-,
222,Ocean fishery,14,14.4,0,-,
223,Overfishing,14,14.4,0,-,
224,Sustainable fishing practice ,14,14.4,7,-,
225,Sustainable ocean ,14,14.4,17,-,
226,Sustainable yield ,14,14.4,7,-,
227,Unregulated fishing,14,14.4,0,-,
228,Earth system ,14,14.4,7,-,
229,Ecological resilience ,14,14.4,7,-,
230,Biodiversity loss,14,14.4,0,-,
231,Human-wildlife conflict ,14,14.4,7,-,
232,Natural resource depletion ,14,14.4,19,-,
233,Reduce pollution ,14,14.4,3,-,
234,Caring for the commons  ,14,14.4,31,-,
235,Caring for the public goods  ,14,14.4,31,-,
236,Common good ,14,14.4,26,-,
237,Water pollution,14,14.4,0,-,
238,Millennium Development Goals ,14,14.4,19,-,
239,Net zero carbon ,14,14.4,39,-,
240,Net zero emissions ,14,14.4,39,-,
241,Solid waste segregation ,14,14.4,16,-,
242,conservation,14,14.4,0,-,
243,Conserve,14,14.4,0,-,
244,Extinct,14,14.4,0,-,
245,Extinct species,14,14.4,0,-,
246,Extinction,14,14.4,0,-,
247,Extinction risk ,14,14.4,7,-,
248,Extinction wave ,14,14.4,7,-,
249,Ecological,14,14.4,0,-,
250,Ecology,14,14.4,0,-,
251,Ecosystem,14,14.4,0,-,
252,Habitat fragmentation ,14,14.4,7,-,
253,Habitat loss ,14,14.4,7,-,
254,Coral Bleaching,14,14.4,0,-,
255,Ecological balance,14,14.4,0,-,
256,Ecological equilibium,14,14.4,0,-,
257,Ecological footprint ,14,14.4,7,16,
258,Flood ,14,14.4,19,-,
259,Pollution ,14,14.4,7,-,
260,Sustainable consumption,14,14.4,0,-,
261,Sustainable economic growth,14,14.4,0,-,
262,Sustainable farming,14,14.4,0,-,
263,Sustainable societies,14,14.4,0,-,
264,Sustainable society,14,14.4,0,-,
265,Sustainable tourism ,14,14.4,19,-,
266,Coastal habitat,14,14.5,0,-,
267,Coastline,14,14.5,0,-,
268,Conservation,14,14.5,0,-,
269,Conserve,14,14.5,0,-,
270,Conserve ocean,14,14.5,0,-,
271,Glacier dynamics ,14,14.5,7,-,
272,Glacier mass ,14,14.5,7,-,
273,Glacier retreat ,14,14.5,7,-,
274,Marine area,14,14.5,0,-,
275,Marine conservation ,14,14.5,7,-,
276,Ocean conservation,14,14.5,0,-,
277,Ocean system ,14,14.5,17,-,
278,Ocean warming,14,14.5,0,-,
279,Plastic pollution ,14,14.5,7,-,
280,Plastic waste  ,14,14.5,7,-,
281,Protected area,14,14.5,0,-,
282,Eco-restoration ,14,14.5,14,-,
283,Earth system ,14,14.5,7,-,
284,Ecological resilience ,14,14.5,7,-,
285,Ecosystem restoration,14,14.5,0,-,
286,Biodiversity loss,14,14.5,0,-,
287,Restoration ,14,14.5,7,-,
288,carbon abatement ,14,14.5,40,-,
289,Reduce pollution ,14,14.5,3,-,
290,"WASH water, sanitation and hygiene",14,14.5,,-,
291,"Water, Sanitation and Hygiene for All ",14,14.5,0,-,
292,Caring for the commons  ,14,14.5,31,-,
293,Caring for the public goods  ,14,14.5,31,-,
294,Common good ,14,14.5,26,-,
295,Carbon negative ,14,14.5,0,-,
296,Carbon neutral ,14,14.5,25,-,
297,Carbon neutrality ,14,14.5,25,-,
298,Carbon emission ,14,14.5,3,-,
