id,keyword,sdggoal,target,reference1,reference2,Note
1,agricultural development ,2,2.3,16,-,
2,agricultural development,2,2.4,16,-,
3,agricultural development ,2,2.5,16,-,
4,agricultural development ,2,2.A,16,-,
5,Agricultural export subsidies ,2,2.B,19,-,
6,Agricultural export subsidy ,2,2.B,19,-,
7,Agricultural innovation ,2,2.3,7,-,
8,Agricultural innovation,2,2.4,7,-,
9,Agricultural innovation,2,2.5,7,-,
10,Agricultural innovation ,2,2.A,7,-,
11,Agricultural market ,2,2.C,19,-,
12,Agricultural markets ,2,2.B,19,-,
13,Agricultural Orientation index,2,2.A,0,-,
14,Agricultural productive capacity ,2,2.3,7,-,
15,Agricultural productive capacity,2,2.4,7,-,
16,Agricultural productive capacity,2,2.5,7,-,
17,Agricultural productive capacity ,2,2.A,7,-,
18,Agricultural productivity,2,2.3,7,-,
19,Agricultural productivity ,2,2.4,7,-,
20,Agricultural productivity,2,2.5,7,-,
21,Agricultural productivity ,2,2.A,7,-,
22,Agricultural research ,2,2.A,19,-,
23,Agriculture,2,2.1,0,-,
24,Agriculture,2,2.2,0,-,
25,Agriculture,2,2.3,0,-,
26,Agriculture,2,2.4,0,-,
27,Agriculture,2,2.5,0,-,
28,Agriculture,2,2.A,0,-,
29,Agriculture,2,2.B,0,-,
30,Agriculture,2,2.C,0,-,
31,all forms of malnutrition ,2,2.2,7,-,
32,Biodiversity,2,2.5,0,-,
33,Biodiversity loss,2,2.5,0,-,
34,Biogeochemical cycle ,2,2.4,7,-,
35,Capacity building,2,2.4,0,-,
36,Caring for countries,2,2.A,0,-,
37,Caring for country,2,2.A,0,-,
38,Contaminated ,2,2.1,0,-,
39,Contamination ,2,2.1,7,-,
40,Crop diversity,2,2.5,0,-,
41,Crops,2,2.1,0,-,
42,Crops,2,2.2,0,-,
43,Crops,2,2.3,0,-,
44,Crops,2,2.4,0,-,
45,Crops,2,2.5,0,-,
46,Crops,2,2.A,0,-,
47,Crops,2,2.B,0,-,
48,Crops,2,2.C,0,-,
49,Discrimination,2,2.1,0,-,
50,Discrimination,2,2.2,0,-,
51,Discrimination,2,2.B,0,-,
52,Discrimination,2,2.C,0,-,
53,Discriminatory,2,2.1,0,-,
54,Discriminatory,2,2.2,0,-,
55,Discriminatory,2,2.B,0,-,
56,Discriminatory,2,2.C,0,-,
57,Disease,2,2.1,0,-,
58,Disease,2,2.2,0,-,
59,Diversified seed ,2,2.5,19,-,
60,Diversified seed ,2,2.A,19,-,
61,Doha Development Round,2,2.B,0,-,
62,Doha Round,2,2.B,0,-,
63,Domesticated animal ,2,2.5,19,-,
64,Domesticated animal ,2,2.A,19,-,
65,Drought,2,2.4,0,-,
66,Ecological,2,2.3,0,-,
67,Ecological,2,2.A,0,-,
68,Ecological balance,2,2.3,0,-,
69,Ecological balance,2,2.A,0,-,
70,Ecological equilibium,2,2.3,0,-,
71,Ecological equilibium,2,2.A,0,-,
72,Ecological footprint ,2,2.3,7,16,
73,Ecological footprint ,2,2.A,7,16,
74,Ecosystem,2,2.4,0,-,
75,Electrical power,2,2.A,0,-,
76,Electricity,2,2.A,0,-,
77,End hunger,2,2.2,0,-,
78,Environmental disaster ,2,2.4,7,-,
79,Equal access ,2,2.1,4,-,
80,Equal access ,2,2.3,4,-,
81,Equality,2,2.1,0,-,
82,Equality,2,2.2,0,-,
83,Equality,2,2.3,0,-,
84,Equality,2,2.A,0,-,
85,Equality,2,2.B,0,-,
86,Equality,2,2.C,0,-,
87,Extreme weather ,2,2.4,19,-,
88,Farmed animal ,2,2.3,19,-,
89,Farmed animal ,2,2.5,19,-,
90,Farmed animal ,2,2.A,19,-,
91,Flood ,2,2.4,19,-,
92,Food gap,2,2.1,0,-,
93,Food gap,2,2.2,0,-,
94,Food gap,2,2.3,0,-,
95,Food gap,2,2.4,0,-,
96,Food gap,2,2.A,0,-,
97,Food gap,2,2.B,0,-,
98,Food gap,2,2.C,0,-,
99,Food poilcy ,2,2.A,16,-,
100,Food poilcy ,2,2.B,16,-,
101,Food poilcy ,2,2.C,16,-,
102,Food price ,2,2.3,16,-,
103,Food price ,2,2.4,16,-,
104,Food price ,2,2.B,16,-,
105,Food price ,2,2.C,16,-,
106,Food price volatility ,2,2.4,7,-,
107,Food price volatility ,2,2.B,7,-,
108,Food price volatility ,2,2.C,7,-,
109,Food production,2,2.3,0,-,
110,Food production,2,2.4,0,-,
111,Food production,2,2.5,0,-,
112,Food production,2,2.A,0,-,
113,Food reserve,2,2.5,0,-,
114,Food reserve,2,2.B,0,-,
115,Food reserve,2,2.C,0,-,
116,Food Security,2,2.1,0,-,
117,Food Security,2,2.2,0,-,
118,Food Security,2,2.3,0,-,
119,Food Security,2,2.5,0,-,
120,Food Security,2,2.A,0,-,
121,Food Security,2,2.B,0,-,
122,Food Security,2,2.C,0,-,
123,Food supply ,2,2.1,7,-,
124,Food supply ,2,2.2,7,-,
125,Food supply ,2,2.3,7,-,
126,Food supply ,2,2.4,7,-,
127,Food supply ,2,2.5,7,-,
128,Food-energy-water nexus,2,2.4,0,-,
129,Food-energy-water nexus,2,2.A,0,-,
130,Forced miragation,2,2.4,0,-,
131,Genetic diversity,2,2.5,0,-,
132,Genetic diversity,2,2.A,0,-,
133,Genetic diversity of seeds ,2,2.5,19,-,
134,Genetic diversity of seeds ,2,2.A,19,-,
135,genetic modified food,2,2.1,0,-,
136,genetic modified food,2,2.2,0,-,
137,genetic modified food,2,2.3,0,-,
138,genetic modified food,2,2.4,0,-,
139,genetic modified food,2,2.A,0,-,
140,Green economy,2,2.4,0,-,
141,Health,2,2.1,0,-,
142,Health,2,2.2,0,-,
143,Hidden hunger ,2,2.2,7,-,
144,Honey bee,2,2.4,0,-,
145,Honey bee,2,2.5,0,-,
146,Hunger,2,2.1,0,-,
147,Hunger in all their forms and dimensions ,2,2.1,19,-,
148,Hunger in all their forms and dimensions ,2,2.2,19,-,
149,Hungry people,2,2.1,0,-,
150,Improved nutrition,2,2.2,0,-,
151,Indigenous ,2,2.1,20,-,
152,Indigenous ,2,2.3,20,-,
153,Industrial pollution ,2,2.1,7,-,
154,Industrial pollution ,2,2.4,7,-,
155,Industrial waste management ,2,2.1,7,-,
156,Industrial waste management ,2,2.4,7,-,
157,Industrial waste treatment ,2,2.1,7,-,
158,Industrial waste treatment ,2,2.4,7,-,
159,Inequalities ,2,2.1,14,-,
