id,keyword,sdggoal,target,reference1,reference2,note
1,Brand / Company Credibility ,,,3,,
2,Digital experience ,,,3,,
3,Digital sustainability skills assessments ,,,6,,
4,Digital sustainability skills score,,,,,
5,Digitalisation ,,,3,,
6,e-Government ,,,3,,
7,e-Government ,,,3,,
8,ICT ,,,3,,
9,ICT infrastructure,,,,,
10,Information and communication technology ICT ,,,3,,
11,Innovation ,,,3,,
12,Integrated solutions ,,,19,,
13,Internet access ,,,,,
14,Internet of Things ,,,3,,
15,IoT ,,,3,,
16,Process innovation ,,,7,,
17,Product innovation ,,,7,,
18,R&D investment ,,,7,,
19,Research and development,,,,,
20,Research and development expenditure and investment ,,,,,
21,Smart taxation ,,,3,,
22,Technology for sustainable development,,,,,
23,Tele-working,,,,,
